Temperature,Sales
26.1,176.07
70.1,237.34
96.6,360.09
108.4,459.63
17.9,153.26
52.8,201.4
30.5,195.4
55.1,180.36
64.8,181.6
19.3,146.37
39.7,218.16
102.8,366.61
66.9,243.33
55.7,147.3
85.4,230.12
84.2,254.57
14.9,156.79
80.9,243.46
93.9,304.79
26.6,173.04
88.1,239.1
38.7,216.03
40.6,180.85
76.5,253.72
21.1,160.12
76.5,253.19
98.8,347.37
79.6,238.7
54.0,206.61
53.8,172.51
86.5,267.04
66.6,247.15
18.5,179.12
68.3,195.53
91.5,302.25
43.7,201.56
102.8,389.57
85.1,262.56
67.4,209.31
85.2,287.68
17.9,155.26
95.9,345.03
92.2,315.45
101.0,351.55
22.9,163.11
18.2,190.46
23.8,172.85
49.9,184.8
52.4,177.23
66.2,231.86
22.2,167.89
30.1,166.39
91.2,303.83
56.8,206.91
90.8,255.07
10.7,131.64
65.2,237.73
103.2,428.3
68.2,215.85
30.6,187.67
81.8,280.1
47.9,202.31
76.8,238.26
12.9,117.92
73.6,197.04
13.2,150.11
84.5,232.75
57.3,226.85
22.2,148.78
64.3,215.34
16.7,138.89
75.3,252.42
109.6,447.62
86.9,308.06
67.4,192.26
20.3,167.11
80.0,242.89
76.1,236.47
14.9,171.17
89.2,291.7
61.9,184.66
52.6,211.98
88.8,269.59
51.2,191.11
58.1,225.5
28.2,166.62
42.1,187.98
94.6,311.36
28.7,198.59
51.7,212.5
108.9,429.14
33.7,182.02
101.7,340.69
101.8,350.04
19.1,142.06
56.4,200.45
60.2,245.91
41.4,181.53
14.7,132.59
34.2,147.07
19.6,168.56
33.8,156.13
90.8,270.07
99.5,366.87
14.3,94.65
40.2,196.07
108.1,440.75
64.0,240.2
72.6,204.5
10.6,106.42
58.5,240.95
108.8,432.55
47.5,184.02
19.7,142.69
56.2,183.88
106.3,397.81
44.2,218.66
89.9,301.19
89.9,259.9
30.8,187.65
54.3,194.21
81.6,262.86
51.1,197.4
29.1,187.85
106.7,407.96
75.1,184.56
96.5,325.06
12.5,103.19
36.7,205.93
60.2,192.57
16.7,134.5
109.3,438.04
33.6,199.01
47.4,195.3
31.4,217.11
20.5,192.69
33.2,221.23
40.1,189.36
73.4,194.97
38.1,216.79
46.2,189.73
10.6,119.87
46.6,210.81
63.4,177.01
26.2,207.2
69.7,235.07
39.3,200.48
73.2,241.92
12.6,140.22
98.8,342.64
11.6,118.08
22.7,151.21
87.7,278.25
14.6,145.12
81.1,267.29
107.1,418.78
97.2,311.46
81.0,213.82
105.9,399.59
53.0,200.97
97.3,327.42
45.6,167.1
103.0,396.66
24.9,193.04
104.0,368.03
93.3,318.78
94.6,330.11
22.4,165.92
69.6,198.44
11.6,156.64
82.1,256.81
10.8,115.01
18.5,168.39
32.5,218.41
97.5,321.07
46.4,211.96
64.0,248.6
66.8,190.82
32.5,174.97
67.2,201.75
76.1,227.65
39.8,189.66
51.9,206.95
55.3,186.4
103.2,365.03
68.7,221.99
104.8,395.3
65.6,229.08
60.1,214.23
10.4,133.29
58.1,181.71
102.7,365.45
29.8,218.69
15.2,148.34
50.7,215.29
47.2,204.05
95.7,326.9
12.7,124.65
102.0,438.17
78.1,228.29
100.4,352.64
70.8,170.82
91.2,312.63
43.6,185.46
45.0,196.13
49.0,188.93
85.5,259.63
46.9,192.75
34.2,187.32
103.8,381.26
100.8,353.42
44.9,193.95
73.5,250.82
37.4,209.31
30.6,200.77
43.6,181.91
42.7,221.1
98.2,358.92
92.2,285.36
81.0,275.64
105.9,389.3
52.3,164.3
34.5,210.56
21.7,160.91
40.1,213.62
24.5,155.65
19.2,130.21
70.3,243.14
46.4,170.02
66.5,181.47
29.1,141.97
77.7,179.19
31.6,163.71
37.8,148.7
84.2,256.29
66.0,167.33
43.5,174.58
64.3,256.71
79.4,247.01
101.2,360.98
68.1,182.52
33.3,182.04
84.7,259.97
87.8,240.7
30.0,184.59
92.1,319.25
56.5,196.56
88.0,269.81
33.7,146.74
43.3,168.34
105.4,418.59
75.8,216.8
87.3,251.89
78.8,224.55
30.4,181.57
57.1,180.72
90.9,291.38
77.5,207.36
10.6,134.63
18.7,132.68
44.7,223.59
104.4,388.33
59.1,188.4
37.0,209.55
46.0,170.47
31.1,172.8
52.1,201.07
31.8,182.45
94.6,270.68
55.6,184.58
38.0,195.62
103.3,351.57
41.4,220.42
101.0,367.82
14.3,126.55
80.7,239.92
58.4,242.02
54.4,221.02
13.6,141.32
14.1,107.33
43.3,228.93
104.7,412.18
71.8,218.23
46.9,187.42
71.2,216.37
30.6,158.98
26.5,165.87
46.2,213.3
96.3,286.5
60.9,200.5
39.7,196.02
105.0,396.19
91.6,269.19
42.3,172.05
107.2,437.63
108.7,407.5
50.9,220.61
75.6,219.91
50.6,221.88
35.7,181.54
18.3,128.84
36.4,207.77
37.1,191.1
49.9,228.9
28.5,197.13
105.4,392.97
20.3,149.92
72.5,223.15
54.2,205.96
52.4,183.55
47.2,215.42
96.8,318.18
38.0,183.86
12.1,115.59
101.8,369.6
96.4,309.59
37.7,194.68
62.3,263.39
20.9,159.76
19.3,147.18
93.7,272.24
51.0,201.52
76.2,208.83
104.3,379.93
34.5,191.57
11.3,88.15
12.4,131.26
80.9,251.17
102.5,344.62
56.7,195.83
47.5,162.13
64.3,241.57
95.9,326.21
75.2,225.05
33.3,183.72
87.5,293.92
23.5,166.16
26.6,182.01
71.3,250.63
33.9,180.83
80.5,221.7
45.0,180.86
37.7,220.6
109.9,446.61
14.1,125.57
74.6,246.62
13.9,154.73
86.0,255.24
33.0,167.16
19.0,123.24
74.8,191.88
83.3,248.12
77.8,217.55
15.2,177.58
39.4,194.71
55.1,163.84
38.7,221.29
91.1,292.94
23.1,181.22
71.2,233.8
108.8,438.86
100.3,362.52
32.2,190.26
10.0,93.92
108.1,432.08
98.3,357.09
101.9,361.95
51.6,211.8
84.5,266.55
