customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C0000084,Male,0,No,Yes,33,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),41.28,1394.5,Yes
C0000085,Female,1,Yes,Yes,39,No,No phone service,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),105.59,3961.33,Yes
C0000086,Male,1,Yes,No,48,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Two year,No,Electronic check,113.67,5471.31,No
C0000087,Male,0,No,Yes,35,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),15.12,538.56,No
C0000088,Male,1,Yes,No,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),51.04,2034.27,No
C0000089,Male,1,No,No,48,No,No phone service,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,No,Electronic check,97.03,4554.68,Yes
C0000090,Male,1,No,Yes,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,33.3,1212.37,Yes
C0000091,Female,1,Yes,Yes,39,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),113.92,4409.16,No
C0000092,Male,0,No,Yes,47,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),136.2,6388.23,Yes
C0000093,Female,1,No,Yes,51,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),109.48,5594.02,No
C0000094,Female,0,Yes,Yes,35,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),123.01,4363.88,No
C0000095,Female,0,Yes,Yes,31,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,113.98,3502.12,No
C0000096,Female,1,Yes,No,31,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),46.15,1558.61,No
C0000097,Male,0,No,Yes,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),41.63,1453.23,No
C0000098,Female,1,Yes,No,39,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,120.01,4772.84,No
C0000099,Male,0,No,No,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,49.05,901.5,Yes
C0000100,Female,0,No,Yes,41,No,No phone service,Fiber optic,No,No,Yes,No,No,Yes,Two year,No,Electronic check,89.46,3942.23,No
C0000101,Male,0,No,Yes,39,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),48.11,1923.02,Yes
C0000102,Female,0,No,Yes,34,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),34.18,1325.65,No
C0000103,Female,1,Yes,No,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),40.7,1477.21,No
C0000104,Female,0,No,No,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,41.46,1406.38,No
C0000105,Female,1,No,Yes,15,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,108.99,1609.64,Yes
C0000106,Female,1,No,Yes,21,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Two year,No,Electronic check,97.27,2289.97,Yes
C0000107,Female,0,Yes,Yes,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,41.17,1007.98,Yes
C0000108,Female,0,No,Yes,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),45.07,1314.83,No
C0000109,Female,1,No,Yes,37,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Two year,No,Electronic check,116.06,4424.31,No
C0000110,Male,0,No,No,24,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),50.47,1217.16,No
C0000111,Female,1,Yes,No,33,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),119.82,3932.25,No
C0000112,Female,1,No,Yes,33,No,No phone service,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Mailed check,95.85,3102.02,No
C0000113,Male,1,No,No,36,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Two year,No,Electronic check,103.81,3786.04,Yes
C0000114,Female,0,No,Yes,45,No,No phone service,DSL,No,No,Yes,Yes,Yes,Yes,Two year,No,Electronic check,85.83,3968.62,No
C0000115,Female,0,Yes,Yes,42,No,No phone service,DSL,Yes,Yes,Yes,No,No,Yes,Two year,No,Mailed check,88.73,3805.47,No
C0000116,Female,1,Yes,No,30,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Two year,Yes,Electronic check,112.49,3326.77,No
C0000117,Female,1,No,Yes,27,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Two year,No,Electronic check,83.77,2163.02,No
C0000118,Female,0,No,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),44.69,1743.21,No
C0000119,Female,0,Yes,Yes,36,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),108.88,3825.13,Yes
C0000120,Female,0,Yes,Yes,43,No,No phone service,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),66.53,2823.58,No
C0000121,Female,0,Yes,No,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),43.82,1089.6,No
C0000122,Female,1,No,Yes,24,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Two year,Yes,Electronic check,98.58,2338.84,Yes
C0000123,Female,1,No,Yes,33,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),23.2,1045.69,Yes
C0000124,Female,0,No,Yes,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,34.87,955.76,No
C0000125,Female,1,No,Yes,14,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),87.8,1105.44,No
C0000126,Female,0,No,Yes,50,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),112.51,5691.06,Yes
C0000127,Female,1,No,Yes,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,45.72,1685.07,No
C0000128,Female,1,No,Yes,33,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,Two year,Yes,Electronic check,96.68,3085.45,Yes
C0000129,Female,1,No,Yes,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),34.86,1318.7,No
C0000130,Male,1,Yes,No,36,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),12.82,514.54,No
C0000131,Male,1,Yes,No,34,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),17.1,683.85,No
C0000132,Female,1,No,Yes,28,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),10.46,115.31,No
C0000133,Female,1,Yes,No,30,No,No phone service,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),87.26,2682.61,No
C0000134,Female,0,Yes,Yes,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),45.5,1005.49,No
C0000135,Male,1,No,No,34,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),39.06,1516.81,Yes
C0000136,Male,0,Yes,Yes,35,Yes,Yes,DSL,Yes,No,No,No,Yes,No,One year,Yes,Mailed check,94.11,3171.24,No
C0000137,Female,1,No,Yes,42,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,116.13,4862.86,Yes
C0000138,Female,1,Yes,Yes,25,No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,Two year,No,Electronic check,85.69,2137.34,Yes
C0000139,Male,0,No,Yes,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),49.78,1959.19,No
C0000140,Male,1,No,Yes,42,No,No phone service,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,No,Electronic check,103.95,4349.44,No
C0000141,Female,0,No,Yes,37,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,91.53,3315.07,No
C0000142,Female,0,Yes,No,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),44.53,1758.39,No
C0000143,Female,0,Yes,Yes,24,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),104.33,2470.17,No
C0000144,Female,0,Yes,No,37,Yes,No,DSL,Yes,Yes,No,No,Yes,No,One year,No,Credit card (automatic),94.62,3557.16,No
C0000145,Male,1,No,Yes,20,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,78.29,1484.84,Yes
C0000146,Male,1,No,No,33,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),31.82,947.83,No
C0000147,Female,0,No,Yes,43,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),44.84,2059.66,No
C0000148,Female,1,Yes,No,40,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,114.45,4805.25,No
C0000149,Male,0,Yes,No,27,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),48.54,1492.81,Yes
C0000150,Female,1,Yes,No,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,37.24,1110.01,No
C0000151,Female,1,Yes,Yes,39,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),100.77,4035.54,Yes
C0000152,Female,1,No,Yes,26,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),19.78,445.65,No
C0000153,Male,0,Yes,No,40,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,17.93,768.02,No
C0000154,Female,1,No,Yes,39,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),16.49,584.73,No
C0000155,Female,0,No,Yes,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),30.47,1222.57,Yes
C0000156,Male,0,No,Yes,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),36.38,1422.03,No
C0000157,Female,1,Yes,No,38,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Two year,Yes,Electronic check,92.44,3720.32,Yes
C0000158,Female,1,Yes,No,33,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,105.76,3467.15,No
C0000159,Female,0,No,Yes,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),49.82,2001.24,No
C0000160,Male,0,Yes,No,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),36.92,973.65,No
C0000161,Female,0,Yes,No,36,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),14.88,543.22,No
C0000162,Female,1,Yes,No,30,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),121.43,3676.6,No
C0000163,Male,0,No,Yes,39,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),50.77,2149.83,No
C0000164,Female,1,No,Yes,27,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,112.94,3036.19,No
C0000165,Female,0,No,Yes,26,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,83.64,2166.53,Yes
C0000166,Male,0,Yes,No,31,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),24.14,541.77,No
C0000167,Female,1,No,Yes,35,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),24.85,855.05,Yes
C0000168,Female,1,Yes,No,32,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,113.61,3661.96,No
C0000169,Male,1,Yes,No,53,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),60.27,3118.09,No
C0000170,Male,0,Yes,No,23,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Two year,Yes,Electronic check,118.23,2618.5,Yes
