Customer_ID,Tenure_Months,Monthly_Charges,Total_Charges,Data_GB_Per_Month,Support_Tickets_Last_Month,International_Plan,Voicemail_Plan,Paperless_Billing,Service_Tier,Customer_Priority,Payment_Method,Contract_Type,Region,Churn
CUST00090,7,78.18,575.09,0.5,0.0,No,No,Not Enrolled,Enterprise,VIP,Credit Card,Month-to-Month,Midwest,No
CUST00091,10,101.51,1012.36,2.4,2.0,Yes,No,Enrolled,Premium,Low,Bank Transfer,Month-to-Month,Midwest,No
CUST00092,20,72.57,1518.82,5.2,1.0,No,Yes,Enrolled,Premium,Low,Bank Transfer,Month-to-Month,Southwest,No
CUST00093,36,32.57,1089.92,33.4,5.0,No,No,Not Enrolled,Standard,Low,Credit Card,Month-to-Month,Southeast,Yes
CUST00094,8,100.01,754.44,50.0,4.0,No,No,Enrolled,Premium,Low,Electronic Check,Month-to-Month,Midwest,No
CUST00095,3,105.62,335.99,33.0,2.0,No,No,Enrolled,Premium,Medium,Mailed Check,One Year,Northeast,No
CUST00096,25,84.01,1988.26,12.6,1.0,No,No,Enrolled,Premium,Low,Bank Transfer,One Year,Northeast,No
CUST00097,41,79.68,3099.85,6.5,0.0,No,No,Enrolled,Standard,Medium,Electronic Check,Month-to-Month,Southeast,No
CUST00098,18,51.95,838.48,15.4,2.0,Yes,Yes,Not Enrolled,Standard,Low,Electronic Check,One Year,Midwest,Yes
CUST00099,24,42.76,1144.21,8.0,1.0,No,No,Enrolled,Standard,,Mailed Check,One Year,Southeast,Yes
CUST00100,4,47.7,102.91,15.8,1.0,No,No,Enrolled,Standard,Low,Electronic Check,One Year,West,No
CUST00101,15,37.7,535.34,2.0,1.0,No,,Not Enrolled,Standard,Low,Bank Transfer,One Year,Northeast,No
CUST00102,41,90.82,,,,No,No,,,Medium,,One Year,,No
CUST00103,37,75.82,3043.23,4.1,2.0,Yes,Yes,Enrolled,Premium,,Electronic Check,One Year,Southeast,No
CUST00104,72,82.5,,,,No,,,,,Mailed Check,Two Year,,No
CUST00105,30,61.65,1954.39,16.9,1.0,Yes,No,Enrolled,Premium,Medium,Credit Card,One Year,Southeast,No
CUST00106,4,70.94,227.51,1.5,1.0,No,,Enrolled,Premium,Low,Mailed Check,Month-to-Month,Southwest,No
CUST00107,19,57.36,1045.0,2.2,0.0,No,No,Not Enrolled,Premium,,Credit Card,One Year,Midwest,No
CUST00108,13,117.12,1641.03,1.8,2.0,Yes,No,Enrolled,Standard,Low,Electronic Check,Month-to-Month,Southeast,No
CUST00109,19,62.97,1204.57,0.8,3.0,No,No,Not Enrolled,Basic,Low,Bank Transfer,Month-to-Month,Southeast,No
CUST00110,3,49.76,67.87,,2.0,No,No,Enrolled,Standard,Medium,Bank Transfer,Month-to-Month,Northeast,Yes
CUST00111,11,92.78,922.55,23.5,0.0,Yes,Yes,Not Enrolled,Premium,Low,Bank Transfer,One Year,Southeast,Yes
CUST00112,30,57.91,,,,No,Yes,,,Low,,Month-to-Month,,No
CUST00113,56,44.65,2590.48,6.8,3.0,No,,Enrolled,Standard,Low,Bank Transfer,Month-to-Month,Southwest,Yes
CUST00114,2,88.22,188.8,18.5,,Yes,No,Enrolled,Standard,,Bank Transfer,One Year,Southeast,No
CUST00115,56,49.23,2710.37,15.8,2.0,No,Yes,Enrolled,Premium,,Credit Card,One Year,Midwest,No
CUST00116,32,86.82,2968.99,7.6,2.0,Yes,No,Not Enrolled,Premium,VIP,Bank Transfer,Month-to-Month,Midwest,Yes
CUST00117,8,80.75,542.81,10.2,0.0,No,No,Not Enrolled,Premium,,Credit Card,Month-to-Month,Northeast,No
CUST00118,7,81.45,478.81,30.0,1.0,No,Yes,Enrolled,Standard,Low,Electronic Check,Two Year,Midwest,No
CUST00119,7,113.04,,,2.0,No,Yes,,Premium,Low,,Month-to-Month,,No
CUST00120,4,77.82,345.22,4.2,2.0,No,No,Enrolled,Enterprise,Low,Bank Transfer,Two Year,West,No
CUST00121,43,93.69,3667.09,30.0,,No,No,Enrolled,Premium,,Bank Transfer,Month-to-Month,Southwest,No
CUST00122,34,70.35,,9.8,,Yes,,,,Medium,,Two Year,,No
CUST00123,27,102.38,2627.98,21.4,0.0,Yes,No,Enrolled,Enterprise,Low,Bank Transfer,Two Year,Northeast,Yes
CUST00124,38,74.59,2969.02,7.3,1.0,No,Yes,Not Enrolled,Standard,,Credit Card,One Year,Southeast,No
CUST00125,19,43.27,814.1,5.7,0.0,Yes,Yes,Enrolled,Standard,Low,Credit Card,Month-to-Month,West,No
CUST00126,8,31.81,227.16,22.5,0.0,No,No,Enrolled,Basic,Medium,Bank Transfer,Month-to-Month,Northeast,Yes
CUST00127,5,67.95,358.68,4.7,2.0,Yes,Yes,Enrolled,Premium,,Electronic Check,One Year,West,Yes
CUST00128,58,72.02,4134.06,13.2,1.0,Yes,No,Not Enrolled,Standard,,Credit Card,Two Year,Midwest,No
CUST00129,7,105.21,761.31,27.8,5.0,No,No,Not Enrolled,Enterprise,,Credit Card,Month-to-Month,West,No
CUST00130,11,58.11,627.73,21.5,2.0,No,No,Enrolled,Premium,,Electronic Check,Two Year,Northeast,No
CUST00131,8,75.32,625.4,2.6,2.0,No,No,Enrolled,Standard,Low,Electronic Check,Month-to-Month,West,Yes
CUST00132,60,53.09,3481.41,14.2,4.0,Yes,Yes,Not Enrolled,Basic,Medium,Credit Card,One Year,Midwest,No
CUST00133,5,123.13,670.86,4.2,2.0,Yes,No,Not Enrolled,Standard,Low,Electronic Check,Month-to-Month,West,Yes
CUST00134,4,61.4,261.0,10.8,0.0,Yes,,Enrolled,Basic,,Mailed Check,Month-to-Month,Southeast,No
CUST00135,14,67.17,994.15,10.3,1.0,No,No,Not Enrolled,Standard,Medium,Bank Transfer,Month-to-Month,Midwest,No
CUST00136,47,40.57,2058.51,6.7,2.0,No,Yes,Enrolled,Standard,Medium,Credit Card,Month-to-Month,Midwest,No
CUST00137,43,103.81,4312.33,5.5,2.0,No,No,Not Enrolled,Enterprise,,,Month-to-Month,Midwest,No
CUST00138,4,41.13,167.25,,,No,,Not Enrolled,,,,Month-to-Month,West,No
CUST00139,15,70.26,1050.87,14.6,0.0,No,Yes,Enrolled,Basic,,Bank Transfer,Two Year,West,No
CUST00140,4,74.43,406.75,14.0,1.0,No,No,Not Enrolled,Standard,,Credit Card,Month-to-Month,Midwest,No
CUST00141,46,65.06,3039.75,3.9,0.0,No,Yes,Enrolled,Basic,Low,Credit Card,Month-to-Month,West,Yes
CUST00142,10,72.2,788.61,1.1,1.0,No,No,Not Enrolled,Premium,Low,Bank Transfer,One Year,Midwest,No
CUST00143,24,96.47,2042.47,4.0,1.0,No,Yes,Enrolled,Standard,Low,Bank Transfer,One Year,Northeast,No
CUST00144,14,104.99,1313.67,10.6,1.0,No,No,Enrolled,Enterprise,,Bank Transfer,Month-to-Month,Northeast,No
CUST00145,20,96.52,1987.23,3.0,5.0,No,Yes,Not Enrolled,Premium,Low,Electronic Check,Month-to-Month,Northeast,No
CUST00146,54,87.79,4488.92,16.7,,No,,,,,,One Year,,No
CUST00147,5,105.6,,,,No,,,,,Electronic Check,Month-to-Month,,Yes
CUST00148,8,72.29,477.27,3.4,2.0,No,Yes,Enrolled,Standard,High,Bank Transfer,One Year,Midwest,No
CUST00149,22,59.6,1279.78,4.4,3.0,Yes,No,Not Enrolled,Basic,Medium,Bank Transfer,One Year,Midwest,No
CUST00150,11,99.98,1101.78,5.1,2.0,No,No,Enrolled,Premium,Medium,Electronic Check,Month-to-Month,West,Yes
CUST00151,6,40.94,210.63,7.0,1.0,No,No,Enrolled,Standard,High,Bank Transfer,Two Year,Northeast,No
CUST00152,42,31.12,1274.1,1.5,1.0,Yes,No,Enrolled,Standard,VIP,Bank Transfer,Two Year,West,No
CUST00153,10,84.7,850.46,3.0,2.0,Yes,No,Not Enrolled,Enterprise,,Electronic Check,Month-to-Month,West,Yes
CUST00154,16,115.1,1833.64,26.9,,No,No,Enrolled,Premium,,Electronic Check,One Year,Northeast,No
CUST00155,4,52.89,161.05,5.4,2.0,No,No,Enrolled,Premium,Low,Bank Transfer,One Year,West,Yes
CUST00156,1,71.05,115.86,32.6,2.0,No,Yes,Enrolled,Premium,,Electronic Check,One Year,Midwest,No
CUST00157,11,38.55,441.46,3.5,1.0,No,No,Not Enrolled,Premium,Low,Mailed Check,Month-to-Month,West,No
CUST00158,2,70.69,66.91,,,No,,Not Enrolled,,Medium,Credit Card,Month-to-Month,,Yes
CUST00159,15,48.21,883.39,9.9,0.0,Yes,No,Not Enrolled,Premium,,Mailed Check,Month-to-Month,Southwest,No
CUST00160,12,88.41,1063.89,17.8,3.0,No,No,Not Enrolled,Premium,,Bank Transfer,One Year,Southwest,No
CUST00161,11,60.85,581.58,2.2,2.0,No,Yes,Not Enrolled,Standard,Low,Electronic Check,Month-to-Month,Southeast,No
CUST00162,28,55.74,1526.13,15.5,3.0,No,Yes,Enrolled,Basic,,Credit Card,Two Year,Southwest,No
CUST00163,1,118.82,,,0.0,No,,Not Enrolled,Premium,,,One Year,,No
CUST00164,19,57.16,1002.8,0.8,2.0,Yes,Yes,Enrolled,,Low,Electronic Check,Month-to-Month,Southeast,Yes
CUST00165,21,43.34,832.92,6.9,2.0,No,Yes,Not Enrolled,Premium,Low,Bank Transfer,Month-to-Month,West,No
CUST00166,26,64.74,1604.99,15.9,0.0,No,Yes,Not Enrolled,Basic,,Credit Card,Month-to-Month,Northeast,No
CUST00167,17,91.76,1491.11,8.4,,No,Yes,Not Enrolled,Premium,Low,Mailed Check,One Year,West,No
CUST00168,72,126.15,8280.69,10.4,0.0,No,Yes,Enrolled,Enterprise,Low,Bank Transfer,Month-to-Month,Northeast,No
CUST00169,19,78.61,1396.08,5.0,,No,Yes,Not Enrolled,Premium,Low,Electronic Check,Month-to-Month,Southwest,No
CUST00170,14,39.24,532.56,2.2,2.0,Yes,Yes,Not Enrolled,Basic,Low,Bank Transfer,Two Year,West,No
CUST00171,9,59.39,517.81,11.7,0.0,Yes,No,Enrolled,Basic,,Credit Card,Two Year,Southeast,Yes
CUST00172,3,62.78,225.12,10.4,0.0,No,No,Enrolled,Basic,Low,Bank Transfer,One Year,Southeast,Yes
CUST00173,29,116.54,3015.57,8.6,2.0,No,No,Enrolled,Premium,,Electronic Check,Month-to-Month,Midwest,No
CUST00174,40,83.54,3601.5,8.9,0.0,No,No,Enrolled,Basic,,Credit Card,One Year,Southeast,No
CUST00175,13,82.2,1028.22,17.0,1.0,Yes,No,Not Enrolled,Premium,Medium,Mailed Check,Two Year,Midwest,No
CUST00176,57,39.46,2257.71,4.0,1.0,Yes,Yes,Not Enrolled,Standard,,Electronic Check,One Year,Southwest,No
CUST00177,24,104.74,,,2.0,No,,Enrolled,Standard,High,,Two Year,,No
CUST00178,26,63.07,1826.44,5.6,0.0,Yes,No,Not Enrolled,Standard,,Bank Transfer,Month-to-Month,Northeast,Yes
CUST00179,19,88.84,1570.66,9.9,1.0,No,No,Enrolled,Premium,,Mailed Check,Month-to-Month,Midwest,No
CUST00180,42,76.11,3189.06,20.1,3.0,No,No,Enrolled,Standard,,Electronic Check,Month-to-Month,Southeast,No
CUST00181,43,47.53,,9.8,1.0,Yes,,,,Medium,,Two Year,,No
CUST00182,49,45.74,,,,No,,,,,Bank Transfer,Month-to-Month,,No
CUST00183,1,67.95,,7.1,3.0,No,Yes,Not Enrolled,Basic,Medium,Electronic Check,Month-to-Month,West,Yes
CUST00184,32,84.11,2631.58,16.6,1.0,No,Yes,Not Enrolled,Standard,Medium,Credit Card,Two Year,Midwest,No
CUST00185,72,104.79,8239.38,4.9,2.0,Yes,Yes,Enrolled,Basic,Low,Mailed Check,Month-to-Month,West,No
CUST00186,3,73.89,175.04,7.1,2.0,No,No,Enrolled,Standard,,Credit Card,Month-to-Month,Northeast,No
CUST00187,3,59.18,240.2,7.7,3.0,No,No,Enrolled,Premium,,Electronic Check,Month-to-Month,Southwest,Yes
CUST00188,1,53.14,80.26,2.4,0.0,No,No,Enrolled,Standard,Low,Credit Card,Month-to-Month,West,No
CUST00189,8,76.38,654.68,1.6,3.0,No,No,Not Enrolled,Enterprise,,Electronic Check,Two Year,Midwest,No
CUST00190,32,69.89,2387.9,50.0,1.0,No,No,Not Enrolled,Enterprise,,Electronic Check,Month-to-Month,Southwest,No
CUST00191,17,72.67,1290.58,3.7,0.0,No,No,Enrolled,Premium,Low,Bank Transfer,Month-to-Month,Northeast,Yes
CUST00192,27,84.78,2500.0,1.8,1.0,No,Yes,Enrolled,Premium,,Bank Transfer,Month-to-Month,West,Yes
CUST00193,6,91.65,520.21,8.2,3.0,No,No,Enrolled,Enterprise,Medium,Credit Card,Month-to-Month,Southeast,No
CUST00194,19,82.57,1473.56,2.1,1.0,No,No,Enrolled,Standard,,Credit Card,Two Year,Northeast,No
CUST00195,56,98.05,5136.63,9.4,5.0,No,Yes,Not Enrolled,Premium,,Credit Card,Two Year,Southeast,Yes
CUST00196,27,101.19,2776.83,6.2,0.0,No,Yes,Enrolled,Premium,,Bank Transfer,One Year,Southeast,No
CUST00197,9,48.88,368.6,26.8,0.0,No,No,Not Enrolled,Standard,Medium,Bank Transfer,One Year,Northeast,Yes
CUST00198,9,55.25,503.32,50.0,2.0,No,No,Enrolled,Standard,Low,Bank Transfer,Month-to-Month,Northeast,No
CUST00199,3,59.15,198.36,3.5,2.0,Yes,Yes,Not Enrolled,Basic,,Bank Transfer,One Year,West,Yes
CUST00200,37,49.9,2013.05,4.0,2.0,No,No,Not Enrolled,Basic,,Bank Transfer,Month-to-Month,Southeast,No
CUST00201,11,83.95,953.93,3.7,1.0,No,No,Enrolled,Enterprise,Medium,Credit Card,One Year,Southwest,No
CUST00202,30,89.42,2896.2,6.1,1.0,Yes,No,Enrolled,Premium,,Electronic Check,Month-to-Month,Northeast,No
CUST00203,4,60.07,166.52,19.7,3.0,No,Yes,Enrolled,Standard,,Credit Card,Month-to-Month,Midwest,Yes
CUST00204,1,85.5,112.33,6.0,1.0,No,No,Not Enrolled,Standard,Low,Bank Transfer,Two Year,Northeast,No
CUST00205,42,105.6,,,0.0,Yes,,,,Low,Electronic Check,Two Year,,No
CUST00206,42,51.59,2284.03,5.9,4.0,Yes,Yes,Not Enrolled,Basic,,Electronic Check,One Year,Southeast,Yes
CUST00207,17,52.37,932.22,8.6,1.0,Yes,Yes,Enrolled,Basic,,Bank Transfer,One Year,Southwest,No
CUST00208,2,61.99,170.6,4.6,2.0,No,No,Enrolled,Standard,Medium,Credit Card,Month-to-Month,Southwest,Yes
CUST00209,14,54.83,648.08,50.0,2.0,No,No,Enrolled,Standard,Medium,Credit Card,Month-to-Month,Southwest,No
CUST00210,13,53.12,744.13,,,Yes,,,,Low,Electronic Check,One Year,,No
CUST00211,13,54.63,,,1.0,No,,,,Low,,Two Year,,No
CUST00212,28,108.63,3236.87,4.7,2.0,No,Yes,Not Enrolled,Premium,Low,Bank Transfer,Month-to-Month,Southeast,No
CUST00213,51,83.42,4423.58,23.8,4.0,No,No,Enrolled,Enterprise,,Credit Card,One Year,Northeast,No
CUST00214,8,96.47,706.7,0.7,1.0,No,No,Enrolled,Standard,Low,Electronic Check,Month-to-Month,West,Yes
CUST00215,19,85.07,1462.81,10.4,2.0,No,Yes,Enrolled,Premium,Low,Mailed Check,Month-to-Month,West,No
CUST00216,72,49.53,3295.41,50.0,4.0,No,Yes,Enrolled,,High,Credit Card,One Year,West,Yes
CUST00217,31,39.78,1191.98,3.8,0.0,No,No,Not Enrolled,Basic,Low,Bank Transfer,Month-to-Month,Southeast,No
CUST00218,40,29.25,1240.15,14.3,1.0,Yes,No,Enrolled,Basic,Low,Credit Card,Month-to-Month,Southwest,No
CUST00219,59,20.0,1194.42,1.2,1.0,No,No,Enrolled,Standard,,Bank Transfer,Month-to-Month,Southeast,No
CUST00220,11,28.16,363.82,2.5,0.0,No,No,Enrolled,Standard,Medium,Credit Card,Month-to-Month,Midwest,Yes
CUST00221,2,76.67,70.45,14.3,2.0,No,No,Enrolled,Standard,Low,Electronic Check,Two Year,Southeast,No
CUST00222,28,74.33,2316.37,3.5,1.0,No,No,Enrolled,Enterprise,,Mailed Check,Month-to-Month,Southeast,No
CUST00223,33,66.5,,,4.0,No,,,,,,Month-to-Month,,No
CUST00224,8,69.15,609.83,9.9,2.0,Yes,No,Enrolled,Standard,Low,Electronic Check,Month-to-Month,Northeast,No
CUST00225,3,63.47,153.18,10.2,2.0,No,Yes,Not Enrolled,Standard,Medium,Bank Transfer,One Year,West,No
CUST00226,40,42.82,1728.75,3.4,2.0,No,Yes,Not Enrolled,Premium,Medium,Credit Card,One Year,Midwest,No
CUST00227,7,94.04,770.97,16.0,2.0,Yes,No,Enrolled,Standard,Medium,Credit Card,Two Year,West,No
CUST00228,3,70.56,174.79,6.5,2.0,No,No,Enrolled,Standard,,Mailed Check,One Year,Midwest,No
